valor_1,contratacao_1,valor_2,contratacao_2,match_palavras
CLINIC MEDICA I E II,rede propria,ERGOMED CLINICA MEDICA E MEDIC,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,HUNNO CLINICA MEDICA E ODONTOLOGICA LTDA ME,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,UNIDADE MEDICA E ODONTOLOGICA DE PERNAMBUCO,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CLIODEM - CLINICA ODONTOLOGICA E MEDICA LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CLINICA MEDICA E ODONTOLOG NOV ESPERANCA LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CURAE CLINICA MEDICA E ODONTOLOGICA LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,BIOCOR CLIN MEDICA E CARD SC LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,ANA MILENA SANTOS RIBEIRO CLINIC MEDICA,rede credenciada,clinic medica
CLINIC MEDICA I E II,rede propria,PLENA CLINICA MEDICA E LABORATORIO LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,"HUMANIZA EMPREENDIMENTOS, SERVICOS E ASSISTENCIA MEDICA",rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CLINIC E LABORATORIO JUSTO CAVALCANTE,rede credenciada,clinic e
CLINIC MEDICA I E II,rede propria,MOREIRA E MOREIRA CLINICA MEDICA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CLINICA MEDICA I EII,rede credenciada,medica i
CLINIC MEDICA I E II,rede propria,CLINICA MEDICA SAUDE E ENERGIA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CLINICA MEDICA DE PREV DIAG E TRAT DE DOENCAS,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CLINICA MEDICA AMBULATORIAL MORAES E OLIVEIRA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CLINICA MEDICA SAUDE E ENERGIA LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CLINICA MEDICA SAGGIORATO E SAGGIORATO L,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,LABCLIN LABORATORIO E CLINICA MEDICA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,REABILITI CLINICA MEDICA FISIOTERAPIA E REABI,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,VIVER CLINICA MEDICA E ANALISES CLINICAS,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,PONTESCLIN CLINICA MEDICA E ODONTOLOGICA LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,A J CLINICA ODONTOLOGICA E MEDICA LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,FISIO BELA FISIOTERAPIA E CLINICA MEDICA LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,ORAL MEDIC CLINICA MEDICA E ODON LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,LABOCLIV LABORATORIO E CLINICA MEDICA DO VALE,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,G E CLINICA MEDICA E REABILITAÃ‡ÃƒO CORPORAL,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,UNNIQUE E CLINIC LABORATORIO,rede credenciada,clinic e
CLINIC MEDICA I E II,rede propria,ORTODENT CLINICA MEDICA E ODONTOLOGICA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,UNIMAGEM CLINICA MEDICA IMAGEM E DIAGNOSTICO,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CASTRO E ALBERTIN CLINICA MEDICA SS,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,SABADIN CLINICA MEDICA E MEDICINA LABORATORIA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CLINICA MEDICA VASCONCELOS E VIEIRA LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CLINSEB-CLINICA MEDICA E ODONTOLOGICA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,GENETICA MEDICA E FORENSE SC,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CLINICA MEDICA E ODONTOLOGICA HEALTH QUIZZ S/S,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,ODONTO VIT CLINICA MEDICA E ODONTOLOGICA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,ACESSE SAUDE CLINICA MEDICA E ODONTOLOGICA LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,DIAVERUM ASSISTENCIA MEDICA E NEFROLOGIC LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,MOREIRA E TOMAZ ASSISTENCIA MEDICA LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CARVALHO E LIMA CLINICA MEDICA LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CLIORT CLINICA DE ORTOPEDIA E TRAUMATOLOGIA I,rede credenciada,i e
CLINIC MEDICA I E II,rede propria,CLINICA MEDICA E ODONTOLOGICA ALPHA ELDORADO,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,SAMANTHA CAUMO CLINIC DE ODONT E EST INT LTDA,rede credenciada,clinic e
CLINIC MEDICA I E II,rede propria,PSICOVITTAE CLINIC INTEG E FORMACAO PROF LTDA,rede credenciada,clinic e
CLINIC MEDICA I E II,rede propria,CLIFI CLINICA MEDICA E FISIOTERAPICA DE JEQUI,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,REABILIT CLINIC FISIOTERAPIA E SAUDE LTDA,rede credenciada,clinic e
CLINIC MEDICA I E II,rede propria,G E CLINICA MEDICA E REABILITAÇÃO CORPORAL,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,RCIM CLINICA ODONTOLOGICA E MEDICA LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,AMIGO ASSIST MEDICA INT. DE GINECOLOGIA E OBS,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CLINICA MEDICA VASCONCELOS E VIEIRA LTDA ME,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CLINICA MEDICA E PSICOLOGICA SANTOS & ANDRADE LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,SANTANA MOREIRA I P E LTDA,rede credenciada,i e
CLINIC MEDICA I E II,rede propria,SANTA CASA DE MISERICORDIA E MAT SANTANA DE I,rede credenciada,i e
CLINIC MEDICA I E II,rede propria,CLINICA ODONTOLOGICA E MEDICA ALVES E ALVES L,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,JARDINS CLINICA MEDICA E ODONTOLOGICA LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,ALAMED CLINICA MEDICA E ODONTOLOGICA S S LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,ALMED FISIOTERAPIA E CLINICA MEDICA LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,ASR CLINICA MEDICA E DE PSICOLOGIA LTDA.,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,C. E. M. CENTRO DE EXCELENCIA MEDICA SERVICOS,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CLINICA MEDICA E NUTRICIONAL DE VINHEDO LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CLINICA MEDICA PSICOTERAPEUTICA E MULTIDISCIP,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,FISIOCLIN FISIOTERAPIA E CLINICA MEDICA LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,FISIOMED CLINICA MEDICA E FISIOTERAPICA LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,PSICO CLINIC ASSESSORIA E SERVICOS EM PSICOLO,rede credenciada,clinic e
CLINIC MEDICA I E II,rede propria,QUALITY CLINIC CENTRO MEDICO E REABILITACAO L,rede credenciada,clinic e
CLINIC MEDICA I E II,rede propria,UNICO CLINICA MEDICA E MULTIDISCIPLINAR INTEG,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,UNICO CLINICA MEDICA E MULTIDISCIPLINAR INTEGRADA LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,ZANICHELLI BONATTI CLINICA MEDICA E LABORATOR,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,DIAVERUM ASSISTENCIA MEDICA E NEFROLOGICA LTD,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CRISCUOLO CLINICA MEDICA PSICOLOGICA E DE TER,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CORREA BERGAMO CLINICA MEDICA E CARDIOLOGIA L,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,NEW CLINIC CLINICA MEDICA LTDA,rede credenciada,clinic medica
CLINIC MEDICA I E II,rede propria,FISIONEURO CLINICA MEDICA E EXAMES COMPLEMENT,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,AMOSP LIMITADA ASSISTENCIA MEDICA E ORTOPEDIC,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,UNISAUDE CLINICA MEDICA SERVICOS DE DIAGNOSTICOS E IMAGENS L,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,HORUS CLINICA MEDICA E PSICOLOGICA LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,SMART CLINICA MEDICA E ODONTOLOGICA LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,ODONTOMEDIC CLINICA MEDICA E ODONTOLOGICA LTD,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CLINICA MEDICA E ODONTOLOGICA LEVITA LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CLINICA MEDICA E ODONTOLOGICA VEGA LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,P2 CLINICA MEDICA E SERVICOS L,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CLINICA MEDICA SAUDE E VIDA LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,RIO PRETO ASSISTENCIA MEDICA E HOSPITALAR LTD,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,DR CLINICA MEDICA E ODONTOLOGICA LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CLINICA ODONTOLOGICA E MEDICA NORMA KAYSON LT,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,DOUTOR DEZ CLINICA MEDICA E ODONTOLOGICA LTDA,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,CLINICA MEDICA E ODONTOLOGICA LUCAS TORRES,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,C E N I A,rede credenciada,i e
CLINIC MEDICA I E II,rede propria,NEW CLINIC CLINICA MEDICA,rede credenciada,clinic medica
CLINIC MEDICA I E II,rede propria,I P E C ESPACO TERAPEUTICO,rede credenciada,i e
CLINIC MEDICA I E II,rede propria,CLINICA MEDICA SAUDE E VIDA,rede credenciada,medica e
HOSPITAL ANTONIO,rede propria,HOSPITAL SANTO ANTONIO,rede credenciada,hospital antonio
HOSPITAL ANTONIO,rede propria,HOSPITAL SANTO ANTONIO DO RECONCAVO,rede credenciada,hospital antonio
HOSPITAL ANTONIO,rede propria,HOSPITAL SANTO ANTONIO LTDA,rede credenciada,hospital antonio
HOSPITAL ANTONIO,rede propria,HOSPITAL SANTO ANTONIO SANTOS,rede credenciada,hospital antonio
HAPC ZONA NORTE,rede propria,UNIDADE DE FISIOTERAPIA ZONA NORTE,rede credenciada,zona norte
HOSP GERAL PARAIBA,rede propria,HOSP GERAL EL KADRI,rede credenciada,hosp geral
HOSP GERAL PARAIBA,rede propria,PS INFANTIL E HOSP GERAL,rede credenciada,hosp geral
CLINICA HOSPITAL JARDIM,rede propria,CLIPSI - CLINICA PRONTO SOCORRO INFANTIL E HOSPITAL GERAL,rede credenciada,clinica hospital
CLINICA HOSPITAL JARDIM,rede propria,HOSPITAL E CLINICA SAO ROQUE LTDA EPP,rede credenciada,clinica hospital
CLINICA HOSPITAL JARDIM,rede propria,HOSPITAL E CLINICA DAS VIAS URINARIAS LTDA,rede credenciada,clinica hospital
CLINICA HOSPITAL JARDIM,rede propria,CLINICA JARDIM DO MAR S S LTDA,rede credenciada,clinica jardim
CLINICA HOSPITAL JARDIM,rede propria,CIDADE JARDIM CLINICA ORTOPEDICA LTDA,rede credenciada,clinica jardim
CLINICA HOSPITAL JARDIM,rede propria,CLINICA INFANTO JUVENIL JARDIM AMERICA EIRELI,rede credenciada,clinica jardim
CLINICA HOSPITAL JARDIM,rede propria,HOSPITAL DE CLINICAS JARDIM HELENA LTDA,rede credenciada,hospital jardim
CLINICA HOSPITAL JARDIM,rede propria,HOSPITAL CLINICA GRAJAU,rede credenciada,clinica hospital
AMERICA POLICLINICA,rede propria,AMERICA POLICLINICA AMB,rede credenciada,america policlinica
VIDA IMAGEM PARANGAB,rede propria,VIDA & IMAGEM PINHEIRO,rede credenciada,vida imagem
VIDA IMAGEM PARANGAB,rede propria,VIDA E IMAGEM JOAO PESSOA,rede credenciada,vida imagem
VIDA IMAGEM PARANGAB,rede propria,VIDA IMAGEM AGAMENON MAGALHAES,rede credenciada,vida imagem
HAPCLINICA BARAO DE STUDART,rede propria,CLINICA BARAO DE IPANEMA LTDA,rede credenciada,barao de
HAPCLINICA BARAO DE STUDART,rede propria,ODONTO BARAO HOME DE MELO LTDA,rede credenciada,barao de
AME CENTRO CLINICO,rede propria,CCER CENTRO CLINICO,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,CENTRO CLINICO DE FISIOTERAPIA,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,MJS CENTRO CLINICO,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,BORGES & LIMA - CENTRO CLINICO BENEDITO BORGES,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,CENTRO CLINICO DE FISIOTERAPIA LTDA ME,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,CECLIN CENTRO CLINICO PULMONAR E LABORATORIAL,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,CENTRO CLINICO ESPECIALIZADO VITTALE LTDA,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,CENTRO CLINICO DE EDUCACAO E REABILITACAO,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,AMARAL CENTRO CLINICO,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,INTERAGE CENTRO CLINICO LTDA,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,CENTRO CLINICO DE THERAPIAS RE EDUCAR LIMITAD,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,SARANG CENTRO CLINICO DE SERVICOS TERAPEUTICO,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,CENTRO CLINICO ESPECIALIZADO VITTALE LTDA ME,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,VITTAL CENTRO CLINICO DE MEDICINA AMBULATORIA,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,CENTRO CLINICO SANTO ANTONIO EIRELI,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,S H CENTRO CLINICO MULTIPROFISSIONAL LTDA,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,CENTRO CLINICO MAIS SAUDE LTDA,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,ARIANE BARROS CENTRO CLINICO LTDA,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,CENTRO CLINICO JULIANA PRADO LTDA,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,CENTRO CLINICO REABILITY LTDA,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,CENTRO CLINICO SAO LUCAS LTDA,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,CENTRO CLINICO SAUDE MENTAL LTDA,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,CENTRO CLINICO AMMA LTDA,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,CENTRO CLINICO RODRIGUES PACHECO,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,GS CENTRO CLINICO E ODONTOLOGICO LTDA,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,CENTRO CLINICO BRIGADEIRO,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,CENTRO CLINICO SINAPSE,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,CENTRO CLINICO JULIANA PRADO,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,CENTRO CLINICO BENEDITO BORGES,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,CENTRO CLINICO OLAVO SCHERMER,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,CENTRO CLINICO E ORTOPEDICO DE CEILANDIA LTDA,rede credenciada,centro clinico
AME CENTRO CLINICO,rede propria,CENTRO CLINICO MAIS SAUDE,rede credenciada,centro clinico
HAPCLINICA SAO JOSE,rede propria,SAO JOSE IMAGEM,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,CENTRO MEDICO SAO JOSE I,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,CLINICA SAO JOSE LTD,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,ASSOC HOSP SAO JOSE,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,CLINICA SAO JOSE IMAGEM,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,LABORATORIO DE ANALISES CLINICAS SAO JOSE SOC,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,SANTA CASA DE MISERIC DE SAO JOSE DO RIO PRET,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,COLETA ZONA SUL SAO JOSE DOS CAMPOS,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,HOSPITAL SAO JOSE MG,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,HOSPITAL MEMORIAL SAO JOSE - (ABRAMGE),rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,HOSPITAL DA CRIANCA SAO JOSE LTDA,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,CENTRO MEDICO SAO JOSE LTDA,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,CLINICA DE DIAGNOSTICOS SAO JOSE EIRELI,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,CENTRO MED SAO JOSE,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,ASSOCIACAO HOSPITALAR SAO JOSE DE JARAGUA DO,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,IRMANDADE SAO JOSE DE NOVO HORIZONTE,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,INSTITUTO SAO JOSE LTDA,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,COLETA ZONA LESTE SAO JOSE DOS CAMPOS,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,SANATORIO SAO JOSE LTDA,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,ASSOCIACAO DE CARIDADE SAO JOSE,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,CLINICA HOSPITALAR DE IMAGEM SAO JOSE LTDA,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,LABORATORIO DE ANALISES CLINICAS SAO JOSE LTD,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,HOSPITAL SAO JOSE LTDA,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,CLINICA DE DIAGNOSTICO SAO JOSE EIRELI ME,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,CLIN ODONTOL SAO JOSE LTDA,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,CARLOS ALBERTO DE SAO JOSE ME,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,IRMANDADE DA SANTA CASA DE SAO JOSE DOS CAMPO,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,SERVICO DE HEMOTERAPIA DE SAO JOSE DOS CAMPOS,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,HOSP PED SAO JOSE,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,CONFERENCIA SAO JOSE DO AVAI,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,IRMANDADE DO HOSPITAL SAO JOSE SANTA CASA DE,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,HOME CARE SAO JOSE DOS CAMPOS,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,HOSPITAL SAO JOSE NOVA SERRANA,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,HOSPITAL PEDIATRICO SAO JOSE,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,DIAVERUM SAO JOSE,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,HOSPITAL SAO JOSE SAO VICENTE,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,AUSTA SAO JOSE R PRETO,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,TEA SAO JOSE DOS CAM,rede credenciada,sao jose
HAPCLINICA SAO JOSE,rede propria,LAB ANALISES CLINICAS SAO JOSE,rede credenciada,sao jose
HAPCLINICA ZONA SUL,rede propria,COLETA ZONA SUL SAO JOSE DOS CAMPOS,rede credenciada,zona sul
HOSP T LISIEUX - HTL,rede propria,T K S SISTEMAS HOSP CONSULT MEDICOS LTDA,rede credenciada,hosp t
NB DAS GRAÇAS,rede propria,IRMANDADE DE NOSSA SENHORA DAS GRACAS,rede credenciada,das gracas
NB DAS GRAÇAS,rede propria,NOSSA SHA DAS GRACAS,rede credenciada,das gracas
NB DAS GRAÇAS,rede propria,CLINICA NOSSA SENHORA DAS GRACAS LTDA,rede credenciada,das gracas
NB DAS GRAÇAS,rede propria,FISIO NOSSA SENHORA DAS GRACAS,rede credenciada,das gracas
HAPCLIN BOA VIAGEM,rede propria,COPE BOA VIAGEM,rede credenciada,boa viagem
HAPCLIN BOA VIAGEM,rede propria,ODONTOCENTER BOA VIAGEM LTDA,rede credenciada,boa viagem
HAPCLI VASCO DA GAMA,rede propria,WANESSA LIANY DA GAMA BARROS,rede credenciada,da gama
HAPCLI VASCO DA GAMA,rede propria,HOSPITAL E MATERNIDADE DR CHRISTOVAO DA GAMA,rede credenciada,da gama
HAPCLI VASCO DA GAMA,rede propria,HOSP CHRISTOVAO DA GAMA,rede credenciada,da gama
HAP LAURO DE FREITAS,rede propria,LIVIA MONTEIRO BATALHA DE FREITAS,rede credenciada,de freitas
HAP LAURO DE FREITAS,rede propria,CONSULTORIO GLAUCE DE FREITAS,rede credenciada,de freitas
HAP LAURO DE FREITAS,rede propria,GILL CESAR FERREIRA DE FREITAS,rede credenciada,de freitas
HAP LAURO DE FREITAS,rede propria,ODONTO LAURO CLINICA DE ODONTOLOGIA LTDA,rede credenciada,lauro de
HAP LAURO DE FREITAS,rede propria,LAB DE ANAT PATOLOGICA DE MACEIO-LAB ELMANO FREITAS,rede credenciada,de freitas
HAP LAURO DE FREITAS,rede propria,LABORATORIO DE ANALISES CLIN FREITAS LTDA,rede credenciada,de freitas
HAP LAURO DE FREITAS,rede propria,GILL CESAR FERREIRA DE FREITAS ME,rede credenciada,de freitas
HAP LAURO DE FREITAS,rede propria,LIVIA MONTEIRO BATALHA DE FREITAS - EPP,rede credenciada,de freitas
HAP LAURO DE FREITAS,rede propria,ANTONIO EDIMAR DE FREITAS EIRELI,rede credenciada,de freitas
HAP LAURO DE FREITAS,rede propria,WILKS LOPES DE FREITAS PSICOLOGO,rede credenciada,de freitas
HAP LAURO DE FREITAS,rede propria,BIOANÃLISE Â¿ LABORATÃ“RIO DE ANÃLISES CLÃNICAS FREITAS,rede credenciada,de freitas
HAP LAURO DE FREITAS,rede propria,BIOANÁLISE ¿ LABORATÓRIO DE ANÁLISES CLÍNICAS FREITAS,rede credenciada,de freitas
HAP LAURO DE FREITAS,rede propria,CLINICA MOURA DE FREITAS LTDA,rede credenciada,de freitas
HAP LAURO DE FREITAS,rede propria,CAROLINE ATILIO DE FREITAS,rede credenciada,de freitas
HAP LAURO DE FREITAS,rede propria,CLINICA DE PSICOLOGIA RODRIGUES FREITAS E COR,rede credenciada,de freitas
HAP LAURO DE FREITAS,rede propria,SILVIA MARIA DE FREITAS SCHIVITARO LTDA,rede credenciada,de freitas
HAP LAURO DE FREITAS,rede propria,AVALIACAO DE SAUDE - HAP ANTONIO SALES,rede credenciada,hap de
HAP LAURO DE FREITAS,rede propria,CHRYS M C DE FREITAS DENTISTA,rede credenciada,de freitas
SAUDE E IMAGEM,rede credenciada,LAB E IMAGEM PQ AM,rede propria,e imagem
SAUDE E IMAGEM,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,saude e
SAUDE E IMAGEM,rede credenciada,LABORATORIO E IMAGEM PQ AMORIM,rede propria,e imagem
SAUDE E IMAGEM,rede credenciada,CLIN PSIQ E PSICO ESP SAUDE II,rede propria,saude e
HAPCL FERNANDES LIMA,rede propria,F FERNANDES DE OLIVEIRA LIMA,rede credenciada,fernandes lima
AMERICA DIAGNOSTICOS,rede propria,DIAGNOSTICOS DA AMERICA,rede credenciada,america diagnosticos
