valor_1,contratacao_1,valor_2,contratacao_2,match_palavras
DIAG JARD SAO MARCOS,rede propria,HOSPITAL SAO MARCOS DA SAMA,rede credenciada,sao marcos
DIAG JARD SAO MARCOS,rede propria,HOSP. SAO MARCOS,rede credenciada,sao marcos
DIAG JARD SAO MARCOS,rede propria,LAB SAO MARCOS,rede credenciada,sao marcos
DIAG JARD SAO MARCOS,rede propria,HOSP SAO MARCOS SP,rede credenciada,sao marcos
DIAG JARD SAO MARCOS,rede propria,LABORATORIO SAO MARCOS - APARE,rede credenciada,sao marcos
DIAG JARD SAO MARCOS,rede propria,SAO MARCOS MEDICINA NUCLEAR,rede credenciada,sao marcos
DIAG JARD SAO MARCOS,rede propria,DIAGNOSTICO JARDIM SAO MARCOS,rede credenciada,sao marcos
DIAG JARD SAO MARCOS,rede propria,LABO DE ANA CLI SAO MARCOS ILHA SOL LTDA,rede credenciada,sao marcos
DIAG JARD SAO MARCOS,rede propria,HOSPITAL SAO MARCOS DA SAMA MORRO AGUDO,rede credenciada,sao marcos
DIAG JARD SAO MARCOS,rede propria,HOSPITAL SAO MARCOS,rede credenciada,sao marcos
DIAG JARD SAO MARCOS,rede propria,SAO MARCOS SAUDE E MEDICINA DIAGNOSTICA SA,rede credenciada,sao marcos
DIAG JARD SAO MARCOS,rede propria,LABORATORIO SAO MARCOS LTDA,rede credenciada,sao marcos
DIAG JARD SAO MARCOS,rede propria,SAO MARCOS RAD,rede credenciada,sao marcos
DIAG JARD SAO MARCOS,rede propria,SAO MARCOS SAUDE E MEDICINA DIAGNOSTICA S A,rede credenciada,sao marcos
DIAG JARD SAO MARCOS,rede propria,SAO MARCOS SAUDE E DIAGNOSTICO,rede credenciada,sao marcos
DIAG JARD SAO MARCOS,rede propria,HOSP SAO MARCOS,rede credenciada,sao marcos
CLINIC MEDICA I E II,rede propria,M I - MEDICOS -e- IMAGENS,rede credenciada,i e
CLINIC MEDICA I E II,rede propria,CLINICA MEDICA E LABORATORIO C,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,GENETICA MEDICA E CO,rede credenciada,medica e
CLINIC MEDICA I E II,rede propria,GENETICA MEDICA E FORENSE CE,rede credenciada,medica e
