valor_1,contratacao_1,valor_2,contratacao_2,match_palavras
HAPCLI VASCO DA GAMA,rede propria,NOSSO MEDICO VASCO DA GAMA,rede credenciada,vasco da gama
HAP LAURO DE FREITAS,rede propria,CLISANNA LAURO DE FREITAS,rede credenciada,lauro de freitas
HAP ANTONIO SALES,rede propria,AVALIACAO DE SAUDE - HAP ANTONIO SALES,rede credenciada,hap antonio sales
HAP DUQUE DE CAXIAS,rede propria,H.S COR SERV DE HEMODIN DE DUQUE DE CAXIAS LT,rede credenciada,duque de caxias
HAPC VASCO DA GAMA,rede propria,NOSSO MEDICO VASCO DA GAMA,rede credenciada,vasco da gama
HOSPITAL RIO MAR,rede propria,HOSPITAL DE CLINICAS RIO MAR BARRA LTDA,rede credenciada,hospital rio mar
HAPCLINICA FEIRA DE SANTANA,rede propria,INST DE OFTALMOLOGIA DE FEIRA DE SANTANA,rede credenciada,feira de santana
HAPCLINICA FEIRA DE SANTANA,rede propria,REEMBOLSO FEIRA DE SANTANA,rede credenciada,feira de santana
HAPC DUQUE DE CAXIAS,rede propria,H.S COR SERV DE HEMODIN DE DUQUE DE CAXIAS LT,rede credenciada,duque de caxias
HOSPITAL DAS CLINICA,rede propria,HOSPITAL E CLINICA DAS VIAS URINARIAS LTDA,rede credenciada,hospital das clinica
NB DUQUE DE CAXIAS,rede propria,H.S COR SERV DE HEMODIN DE DUQUE DE CAXIAS LT,rede credenciada,duque de caxias
CEDIU CENTRO DE DIAG,rede credenciada,CENTRO DE DIAG MA,rede propria,centro de diag
NB-LAURO DE FREITAS,rede propria,CLISANNA LAURO DE FREITAS,rede credenciada,lauro de freitas
CENTRO DE DIAGNOST,rede propria,DEX LAB CENTRO INTEGRADO DE MEDICINA DIAGNOST,rede credenciada,centro de diagnost
CENTRO DE DIAGNOST,rede propria,CIMED CENTRO INTEGRADO DE MEDICINA E DIAGNOST,rede credenciada,centro de diagnost
CENTRO DE OLHOS,rede propria,CENTRO DE OLHOS CEOP,rede credenciada,centro de olhos
CLINICA DE SAUDE E IMAGEM,rede credenciada,CLINICA DE PSIQ E PSICOLOGIA,rede propria,clinica de e
CLINICA DE SAUDE E IMAGEM,rede credenciada,MEDPREV - CLINICA DE SEG E MEDICINA,rede propria,clinica de e
CLINICA DE SAUDE E IMAGEM,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,de saude e
INSTITUTO DO CORACAO,rede credenciada,INCORD INSTITUTO NEUROLOGIA E DO CORACAO DE D,rede propria,instituto do coracao
TELEMED FEIRA DE SANTANA,rede propria,INST DE OFTALMOLOGIA DE FEIRA DE SANTANA,rede credenciada,feira de santana
TELEMED FEIRA DE SANTANA,rede propria,REEMBOLSO FEIRA DE SANTANA,rede credenciada,feira de santana
HOSPITAL SAO LUCAS,rede propria,HOSPITAL BENEFICENTE SAO LUCAS,rede credenciada,hospital sao lucas
HOSPITAL SAO LUCAS,rede propria,HOSPITAL BENEFICENTE SAO LUCAS DE SAO PEDRO,rede credenciada,hospital sao lucas
HOSPITAL SAO LUCAS,rede propria,HOSPITAL SAO LUCAS DE MINEIROS LTDA,rede credenciada,hospital sao lucas
HOSPITAL SAO LUCAS,rede propria,HOSPITAL SAO LUCAS DE INDIARA,rede credenciada,hospital sao lucas
HOSPITAL SAO LUCAS,rede propria,HOSPITAL E MATERNIDADE SAO LUCAS PRIMAVERA LT,rede credenciada,hospital sao lucas
