valor_1,contratacao_1,valor_2,contratacao_2,match_palavras
HOSPITAL SAO LUCAS,rede propria,HOSPITAL SAO LUCAS PARACATU LTDA,rede credenciada,hospital sao lucas
HOSPITAL SAO LUCAS,rede propria,HOSPITAL SAO LUCAS DE GOVERNADOR VALADARES LT,rede credenciada,hospital sao lucas
HOSPITAL SAO LUCAS,rede propria,HOSPITAL SAO LUCAS DE GOVERNADOR VALADARES,rede credenciada,hospital sao lucas
HOSPITAL SAO LUCAS,rede propria,HOSPITAL E MATERNIDADE SAO LUCAS DE EXTREMA L,rede credenciada,hospital sao lucas
HOSPITAL SAO LUCAS,rede propria,HOSPITAL SAO LUCAS DE PARACATU LTDA,rede credenciada,hospital sao lucas
HOSPITAL SAO LUCAS,rede propria,SAO LUCAS DIA HOSPITAL,rede credenciada,hospital sao lucas
HOSPITAL SAO LUCAS,rede propria,HOSPITAL SAO LUCAS DE TRES CORACOES LTDA,rede credenciada,hospital sao lucas
HOSPITAL SAO LUCAS,rede propria,HOSPITAL SAO LUCAS DE SANTOS LTDA,rede credenciada,hospital sao lucas
HOSPITAL SAO LUCAS,rede propria,HOSPITAL SAO LUCAS DE SANTOS,rede credenciada,hospital sao lucas
AMERICA PLANOS SAUDE - MEDPREV,rede propria,AMERICA PLANOS SAUDE,rede credenciada,america planos saude
HOSPITAL DO RIM DE SERGIPE,rede credenciada,HS COR HOSPITAL DO CORACAO DE DUQUE DE CAXIAS,rede propria,hospital do de
HOSPITAL DO RIM DE SERGIPE,rede credenciada,HOSPITAL DO CORACAO DE LONDRIN,rede propria,hospital do de
CLINICA DE MEDICINA,rede credenciada,MEDPREV - CLINICA DE SEG E MEDICINA,rede propria,clinica de medicina
HOSPITAL DO CORACAO,rede credenciada,HOSPITAL DO CORACAO BALNEARIO,rede propria,hospital do coracao
HOSPITAL DO CORACAO,rede credenciada,HS COR HOSPITAL DO CORACAO DE DUQUE DE CAXIAS,rede propria,hospital do coracao
HOSPITAL DO CORACAO,rede credenciada,HSCOR - HOSPITAL DO CORACAO,rede propria,hospital do coracao
HOSPITAL DO CORACAO,rede credenciada,HOSPITAL DO CORACAO DE LONDRIN,rede propria,hospital do coracao
HOSPITAL DO CORACAO,rede credenciada,HCOR - HOSPITAL DO CORACAO,rede propria,hospital do coracao
HOSPITAL SAO JOSE,rede propria,HOSPITAL SAO JOSE MG,rede credenciada,hospital sao jose
HOSPITAL SAO JOSE,rede propria,HOSPITAL MEMORIAL SAO JOSE - (ABRAMGE),rede credenciada,hospital sao jose
HOSPITAL SAO JOSE,rede propria,HOSPITAL DA CRIANCA SAO JOSE LTDA,rede credenciada,hospital sao jose
HOSPITAL SAO JOSE,rede propria,HOSPITAL SAO JOSE LTDA,rede credenciada,hospital sao jose
HOSPITAL SAO JOSE,rede propria,IRMANDADE DO HOSPITAL SAO JOSE SANTA CASA DE,rede credenciada,hospital sao jose
HOSPITAL SAO JOSE,rede propria,HOSPITAL SAO JOSE NOVA SERRANA,rede credenciada,hospital sao jose
HOSPITAL SAO JOSE,rede propria,HOSPITAL PEDIATRICO SAO JOSE,rede credenciada,hospital sao jose
HOSPITAL SAO JOSE,rede propria,HOSPITAL SAO JOSE SAO VICENTE,rede credenciada,hospital sao jose
CLINICA SANTA CLARA,rede propria,CLINICA SANTA CLARA LTDA,rede credenciada,clinica santa clara
CLINICA SANTA CLARA,rede propria,CLINICA DE FISIOTERAPIA SANTA CLARA LTDA ARAG,rede credenciada,clinica santa clara
CLINICA SANTA CLARA,rede propria,CLINICA DE FRATURAS E ORTOPEDIA SANTA CLARA L,rede credenciada,clinica santa clara
CLINICA SANTA MARIA,rede propria,CLINICA DE FISIOTERAPIA SANTA MARIA LTDA,rede credenciada,clinica santa maria
CLINICA SANTA MARIA,rede propria,CLINICA SANTA MARIA AUXILIADORA LTDA,rede credenciada,clinica santa maria
CENTRO DE CIR DE CABECA E PESC,rede credenciada,CENTRO CLINICO E INFANTIL DE PERUIBE LTDA,rede propria,centro de e
LABORATORIO DE ANALISES,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises
A -e- E CENTRO DE MEDI,rede credenciada,CENTRO CLINICO E INFANTIL DE PERUIBE LTDA,rede propria,e centro de
CLINICA DE CARDIOLOGIA,rede propria,CLINICA DE CARDIOLOGIA DR RAFA,rede credenciada,clinica de cardiologia
CLINICA DE CARDIOLOGIA,rede propria,C C A CLINICA DE CARDIOLOGIA D,rede credenciada,clinica de cardiologia
CLINICA DE CARDIOLOGIA,rede propria,CLINICA MEDICA CARDIOLOGIA DE,rede credenciada,clinica de cardiologia
CLINICA DE CARDIOLOGIA,rede propria,NUCLEO BAHIANO DE CARDIOLOGIA CLINICA,rede credenciada,clinica de cardiologia
CLINICA DE CARDIOLOGIA,rede propria,CLINICA DE CARDIOLOGIA DR RAFAEL ZEMI LTDA,rede credenciada,clinica de cardiologia
CLINICA DE CARDIOLOGIA,rede propria,CLINICA DE CARDIOLOGIA HURTADO LTDA,rede credenciada,clinica de cardiologia
CLINICA DE CARDIOLOGIA,rede propria,INSTITUTO DE CARDIOLOGIA CLINICA DAIRO BICUDO,rede credenciada,clinica de cardiologia
CLINICA DE CARDIOLOGIA,rede propria,CARDIOBABY CLINICA DE CARDIOLOGIA PEDIATRICA,rede credenciada,clinica de cardiologia
CASA DE SAUDE,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,casa de saude
HOSPITAL SAO VICENTE DE PAULO,rede credenciada,NUCLEO DE TERAPIA SÃO VICENTE,rede propria,sao vicente de
CLINICA VIVER BEM,rede credenciada,NUCLEO VIVER BEM - CLINICA AV,rede propria,clinica viver bem
CLINICA VIVER BEM,rede credenciada,NUCLEO VIVER BEM - CLINICA AV 85,rede propria,clinica viver bem
CLINICA VIVER BEM,rede credenciada,CLINICA MEDICA VIVER BEM,rede propria,clinica viver bem
CLINICA SAO JOSE,rede propria,CLINICA SAO JOSE LTD,rede credenciada,clinica sao jose
CLINICA SAO JOSE,rede propria,CLINICA SAO JOSE IMAGEM,rede credenciada,clinica sao jose
CLINICA SAO JOSE,rede propria,CLINICA DE DIAGNOSTICOS SAO JOSE EIRELI,rede credenciada,clinica sao jose
CLINICA SAO JOSE,rede propria,CLINICA HOSPITALAR DE IMAGEM SAO JOSE LTDA,rede credenciada,clinica sao jose
CLINICA SAO JOSE,rede propria,CLINICA DE DIAGNOSTICO SAO JOSE EIRELI ME,rede credenciada,clinica sao jose
CENTRO MEDICO DE FRA,rede credenciada,CENTRO MEDICO BEZERRA DE MENEZES,rede propria,centro medico de
POSTO DE COLETA CATU,rede propria,POSTO DE COLETA DIAS DAVILA,rede credenciada,posto de coleta
POSTO DE COLETA CATU,rede propria,POSTO DE COLETA CRUZ ALMAS,rede credenciada,posto de coleta
POSTO DE COLETA CATU,rede propria,POSTO DE COLETA SANTO ANTONIO DE JESUS,rede credenciada,posto de coleta
POSTO DE COLETA CATU,rede propria,VEDIS POSTO DE COLETA LTDA,rede credenciada,posto de coleta
POSTO DE COLETA CATU,rede propria,POSTO DE COLETA ATENDE,rede credenciada,posto de coleta
HOSP SANTA MONICA,rede propria,HOSP SANTA MONICA MG,rede credenciada,hosp santa monica
NUCLEO VIVER BEM - CLINICA AV,rede propria,CLINICA DE ESPECIALIDADES BEM VIVER LTDA,rede credenciada,viver bem clinica
NUCLEO VIVER BEM - CLINICA AV,rede propria,CLINICA DE ESPECIALIDADES MEDICAS BEM VIVER L,rede credenciada,viver bem clinica
NUCLEO VIVER BEM - CLINICA AV,rede propria,BEM VIVER CLINICA DE CIRURGIA E ENDOSCOPIA EI,rede credenciada,viver bem clinica
NUCLEO VIVER BEM - CLINICA AV,rede propria,CLINICA ARTE DE VIVER BEM LTDA,rede credenciada,viver bem clinica
NUCLEO VIVER BEM - CLINICA AV,rede propria,CLINICA FISIOTERAPICA E ESTETICA BEM VIVER LT,rede credenciada,viver bem clinica
NUCLEO VIVER BEM - CLINICA AV,rede propria,CLINICA ARTE VIVER BEM,rede credenciada,viver bem clinica
NUCLEO VIVER BEM - CLINICA AV,rede propria,BEM VIVER CLINICA,rede credenciada,viver bem clinica
ULTRA SOM SERVICOS M,rede credenciada,ULTRA SOM SERVICOS MEDICOS S A,rede propria,ultra som servicos
ULTRA SOM SERVICOS M,rede credenciada,ULTRA SOM SERVICOS MEDICOS S.A.,rede propria,ultra som servicos
ULTRA SOM SERVICOS M,rede credenciada,ULTRA SOM SERVICOS MEDICOS SA,rede propria,ultra som servicos
ULTRA SOM SERVICOS M,rede credenciada,ULTRA SOM SERVICOS MEDICOS S.A. PA UBERLANDIA,rede propria,ultra som servicos
CLINICA DA MULHER,rede propria,CLIEM CLINICA ESPECIALIZADA DA MULHER,rede credenciada,clinica da mulher
POSTO DE COLETA SANT,rede propria,POSTO DE COLETA DIAS DAVILA,rede credenciada,posto de coleta
POSTO DE COLETA SANT,rede propria,POSTO DE COLETA CRUZ ALMAS,rede credenciada,posto de coleta
POSTO DE COLETA SANT,rede propria,POSTO DE COLETA SANTO ANTONIO DE JESUS,rede credenciada,posto de coleta
POSTO DE COLETA SANT,rede propria,VEDIS POSTO DE COLETA LTDA,rede credenciada,posto de coleta
POSTO DE COLETA SANT,rede propria,POSTO DE COLETA ATENDE,rede credenciada,posto de coleta
CLINICA RIO VERDE,rede propria,CLINICA HEMORIM DE RIO VERDE EIRELI,rede credenciada,clinica rio verde
CLINICA 9 DE JULHO,rede propria,SERVICO DE HEMOTERAPIA 9 DE JULHO LTDA.,rede credenciada,9 de julho
CLINICA 9 DE JULHO,rede propria,HOSPITAL 9 DE JULHO,rede credenciada,9 de julho
CLINICA LINS CENTRO,rede propria,DIAG CLINICA LINS CENTRO,rede credenciada,clinica lins centro
CLINICA VARGEM GRANDE DO SUL,rede credenciada,CLINICA VARGEM GRANDE,rede propria,clinica vargem grande
CLINICA SANTA RITA,rede propria,CLINICA DE FISIOTERAPIA SANTA RITA DE CASSIA,rede credenciada,clinica santa rita
CLINICA SANTA RITA,rede propria,CLINICA SANTA RITA LTDA,rede credenciada,clinica santa rita
CLINICA SANTA RITA,rede propria,CLINICA SANTA RITA SERVICOS MEDICOS LTDA,rede credenciada,clinica santa rita
CLINICA DE FISIOTERAPIA E HABI,rede credenciada,CLINICA DE PSIQ E PSICOLOGIA,rede propria,clinica de e
CLINICA DE FISIOTERAPIA E HABI,rede credenciada,MEDPREV - CLINICA DE SEG E MEDICINA,rede propria,clinica de e
CLINICA RIBEIRAO PRETO,rede propria,INERP CLINICA DE NEUROLOGIA DE RIBEIRAO PRETO,rede credenciada,clinica ribeirao preto
CLINICA RIBEIRAO PRETO,rede propria,CLINICA LUND DE RIBEIRAO PRETO,rede credenciada,clinica ribeirao preto
HOSPITAL BENEFICENTE SAO LUCAS,rede credenciada,HOSPITAL SAO LUCAS - HSL,rede propria,hospital sao lucas
LABORATORIO DE ANALISES CLINIC,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises
CENTRO MEDICO DIAGNOSTICO,rede credenciada,CENTRO CLINICO DIAGNOSTICO MEDICO NOSSA SENHO,rede propria,centro medico diagnostico
CENTRO MEDICO SAO JOSE I,rede credenciada,CENTRO CLINICO SAO JOSE DOS PINHAIS,rede propria,centro sao jose
CENTRO MEDICO SAO JOSE I,rede credenciada,CENTRO CLINICO SAO JOSE DOS PI,rede propria,centro sao jose
CENTRO MEDICO SAO JOSE I,rede credenciada,CENTRO CLINICO SAO BERNARDO I,rede propria,centro sao i
CENTRO MEDICO SAO JOSE I,rede credenciada,CENTRO MEDICO SAO GABRIEL,rede propria,centro medico sao
CENTRO MEDICO SAO JOSE I,rede credenciada,CENTRO MEDICO SAO GABRIEL ELT,rede propria,centro medico sao
CENTRO MEDICO SAO JOSE I,rede credenciada,NOSSO MEDICO SAO JOSE DOS CAMP,rede propria,medico sao jose
INSTITUTO DE DIAGNOSTICO E MED,rede credenciada,INCORD INSTITUTO NEUROLOGIA E DO CORACAO DE D,rede propria,instituto de e
MEDICINA PREVENTIVA RIO BRILHA,rede propria,MEDICINA PREVENTIVA RIO BRILHANTE,rede credenciada,medicina preventiva rio
HOSP N SRA DABADIA,rede credenciada,HOSP N SRA ROSARIO,rede propria,hosp n sra
ICM INSTITUTO DO CORACAO DE MA,rede credenciada,HS COR HOSPITAL DO CORACAO DE DUQUE DE CAXIAS,rede propria,do coracao de
ICM INSTITUTO DO CORACAO DE MA,rede credenciada,HOSPITAL DO CORACAO DE LONDRIN,rede propria,do coracao de
CENTRO CLINICO DE FISIOTERAPIA,rede credenciada,CENTRO CLINICO QUALIDADE DE VIDA,rede propria,centro clinico de
CENTRO CLINICO DE FISIOTERAPIA,rede credenciada,CENTRO CLINICO QUALIDADE DE VI,rede propria,centro clinico de
CENTRO CLINICO DE FISIOTERAPIA,rede credenciada,CENTRO AVANCADO DE FISIOTERAPIA HIGIENOPOLIS,rede propria,centro de fisioterapia
CENTRO CLINICO DE FISIOTERAPIA,rede credenciada,CENTRO CLINICO DUQUE DE CAXIAS,rede propria,centro clinico de
CENTRO CLINICO DE FISIOTERAPIA,rede credenciada,CENTRO CLINICO E INFANTIL DE PERUIBE LTDA,rede propria,centro clinico de
CENTRO CLINICO DE FISIOTERAPIA,rede credenciada,CENTRO CLINICO AUGUSTO DE LIMA,rede propria,centro clinico de
SANTA CASA SAUDE SAO,rede credenciada,CASA SAUDE SANTA MARTHA,rede propria,santa casa saude
INSTITUTO DE NEUROLOGIA RIO PR,rede credenciada,INCORD INSTITUTO NEUROLOGIA E DO CORACAO DE D,rede propria,instituto de neurologia
HOSPITAL E MATERNIDADE DE ITUV,rede credenciada,HOSPITAL E MATERNIDADE SAO JOSE,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE DE ITUV,rede credenciada,HOSPITAL E MATERNIDADE SANTA BRIGIDA S.A,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE DE ITUV,rede credenciada,HOSPITAL E MATERNIDADE BRIGIDA,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE DE ITUV,rede credenciada,HOSPITAL E MATERNIDADE AMÉRICA,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE DE ITUV,rede credenciada,HOSPITAL E MATERNIDADE SANTA MONICA S A DIVIN,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE DE ITUV,rede credenciada,HOSPITAL E MATERNIDADE SANTA MONICA S A NOVA,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE DE ITUV,rede credenciada,HOSPITAL E MATERNIDADE SANTA MONICA,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE DE ITUV,rede credenciada,HOSPITAL E MATERNIDADE SANTA MONICA S/A,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE DE ITUV,rede credenciada,HOSPITAL E MATERNIDADE SALVALUS,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE DE ITUV,rede credenciada,HOSPITAL E MATERNIDADE GUARULHOS,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE DE ITUV,rede credenciada,HOSPITAL E MATERNIDADE GUARULH,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE DE ITUV,rede credenciada,HOSPITAL E MATERNIDADE MODELO,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE DE ITUV,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,e maternidade de
HOSPITAL E MATERNIDADE DE ITUV,rede credenciada,HOSPITAL E MATERNIDADE SANTA M,rede propria,hospital e maternidade
CENTRO AVANCADO DE D,rede credenciada,CENTRO AVANCADO DE FISIOTERAPIA HIGIENOPOLIS,rede propria,centro avancado de
CLINICA DE MEDICINA NUCLEAR DE,rede credenciada,MEDPREV - CLINICA DE SEG E MEDICINA,rede propria,clinica de medicina
CEDIRP CENTRAL DE DIAGNOSTICO,rede credenciada,CENTRAL DE DIAGNOSTICO RIBEIRA,rede propria,central de diagnostico
C C A CLINICA DE CARDIOLOGIA D,rede credenciada,CLINICA ATTENTIS ** ATENDIMENTO DE SEGUNDA A SEXTA DE 07H AS 19H**,rede propria,a clinica de
LABSEL LABORATORIO DE ANALISES,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises
INSTITUTO DE ORTO E TRAUMA,rede credenciada,INCORD INSTITUTO NEUROLOGIA E DO CORACAO DE D,rede propria,instituto de e
FISIO E VIDA CLINICA DE FISIOT,rede credenciada,CLINICA DE PSIQ E PSICOLOGIA,rede propria,e clinica de
FISIO E VIDA CLINICA DE FISIOT,rede credenciada,MEDPREV - CLINICA DE SEG E MEDICINA,rede propria,e clinica de
MED HEALTH GESTAO DE SAUDE E S,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,de saude e
CLINICA DE MEDICINA E DISTURBI,rede credenciada,CLINICA DE PSIQ E PSICOLOGIA,rede propria,clinica de e
LABORATORIO DAS NACOES,rede propria,LABORATORIO DE ANALISES CLINICAS DAS NACOES L,rede credenciada,laboratorio das nacoes
HOSPITAL E MATERNIDADE SANTA L,rede credenciada,HOSPITAL E MATERNIDADE SAO JOSE,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE SANTA L,rede credenciada,HOSPITAL E MATERNIDADE BRIGIDA,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE SANTA L,rede credenciada,HOSPITAL E MATERNIDADE AMÉRICA,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE SANTA L,rede credenciada,HOSPITAL E MATERNIDADE SALVALUS,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE SANTA L,rede credenciada,HOSPITAL E MATERNIDADE GUARULHOS,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE SANTA L,rede credenciada,HOSPITAL E MATERNIDADE GUARULH,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE SANTA L,rede credenciada,HOSPITAL E MATERNIDADE MODELO,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE SANTA L,rede credenciada,HOSPITAL E MATERNIDADE DE GUAR,rede propria,hospital e maternidade
POSTO DE COLETA DIAS,rede propria,POSTO DE COLETA CRUZ ALMAS,rede credenciada,posto de coleta
POSTO DE COLETA DIAS,rede propria,POSTO DE COLETA SANTO ANTONIO DE JESUS,rede credenciada,posto de coleta
POSTO DE COLETA DIAS,rede propria,VEDIS POSTO DE COLETA LTDA,rede credenciada,posto de coleta
POSTO DE COLETA DIAS,rede propria,POSTO DE COLETA ATENDE,rede credenciada,posto de coleta
SANTA CASA DE MISERIC E MATER,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,casa de e
HOSPITAL NOSSA SENHORA DA ABAD,rede credenciada,HOSPITAL NOSSA SENHORA ROSARIO,rede propria,hospital nossa senhora
CLINICA DE FISIOTERAPIA E ESTE,rede credenciada,CLINICA DE PSIQ E PSICOLOGIA,rede propria,clinica de e
CLINICA DE FISIOTERAPIA E ESTE,rede credenciada,MEDPREV - CLINICA DE SEG E MEDICINA,rede propria,clinica de e
CLINICA MEDICINA E B,rede credenciada,MEDPREV - CLINICA DE SEG E MEDICINA,rede propria,clinica medicina e
BIOANAL LAB DE ANAL CLIN LTDA,rede credenciada,LAB ANAL CLINICAS SAO FRANCISCO SS LTDA,rede propria,lab anal ltda
CEMP CLINICA DE EXAME MEDICO E,rede credenciada,CLINICA DE PSIQ E PSICOLOGIA,rede propria,clinica de e
CEMP CLINICA DE EXAME MEDICO E,rede credenciada,MEDPREV - CLINICA DE SEG E MEDICINA,rede propria,clinica de e
LAB DE ANALISES CLINICAS ROMAN,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,de analises clinicas
A D SERVICOS MEDICOS ESPECIALI,rede credenciada,ULTRA SOM SERVICOS MEDICOS S A,rede propria,a servicos medicos
A D SERVICOS MEDICOS ESPECIALI,rede credenciada,ULTRA SOM SERVICOS MEDICOS S.A.,rede propria,a servicos medicos
A D SERVICOS MEDICOS ESPECIALI,rede credenciada,ULTRA SOM SERVICOS MEDICOS S.A. PA UBERLANDIA,rede propria,a servicos medicos
LABORATORIO SANTA CECILIA,rede credenciada,LABORATORIO SANTA CECILIA LTDA,rede propria,laboratorio santa cecilia
LAB DE ANALISES CLINICAS FIORI,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,de analises clinicas
CPC CENTRO DE PATOLOGIA E CITO,rede credenciada,CENTRO CLINICO E INFANTIL DE PERUIBE LTDA,rede propria,centro de e
LABORATORIO SABIN DE ANALISES,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises
CEDIM CENTRO DE DIAG,rede credenciada,CENTRO DE DIAG MA,rede propria,centro de diag
INSTITUTO DE SAUDE SAO MIGUEL,rede credenciada,SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL,rede propria,de saude sao
INSTITUTO DE SAUDE SAO MIGUEL,rede credenciada,SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,de saude sao
INSTITUTO DE SAUDE SAO MIGUEL,rede credenciada,SAO FRANCISCO REDE DE SAUDE ASSISTEN LTDA,rede propria,de saude sao
HOSPITAL E MATERNIDADE DE RANC,rede credenciada,HOSPITAL E MATERNIDADE SAO JOSE,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE DE RANC,rede credenciada,HOSPITAL E MATERNIDADE SANTA BRIGIDA S.A,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE DE RANC,rede credenciada,HOSPITAL E MATERNIDADE BRIGIDA,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE DE RANC,rede credenciada,HOSPITAL E MATERNIDADE AMÉRICA,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE DE RANC,rede credenciada,HOSPITAL E MATERNIDADE SANTA MONICA S A DIVIN,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE DE RANC,rede credenciada,HOSPITAL E MATERNIDADE SANTA MONICA S A NOVA,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE DE RANC,rede credenciada,HOSPITAL E MATERNIDADE SANTA MONICA,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE DE RANC,rede credenciada,HOSPITAL E MATERNIDADE SANTA MONICA S/A,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE DE RANC,rede credenciada,HOSPITAL E MATERNIDADE SALVALUS,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE DE RANC,rede credenciada,HOSPITAL E MATERNIDADE GUARULHOS,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE DE RANC,rede credenciada,HOSPITAL E MATERNIDADE GUARULH,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE DE RANC,rede credenciada,HOSPITAL E MATERNIDADE MODELO,rede propria,hospital e maternidade
HOSPITAL E MATERNIDADE DE RANC,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,e maternidade de
HOSPITAL E MATERNIDADE DE RANC,rede credenciada,HOSPITAL E MATERNIDADE SANTA M,rede propria,hospital e maternidade
CENTRO DE NEUROFISIOLOGIA LTDA,rede credenciada,CENTRO CLINICO E INFANTIL DE PERUIBE LTDA,rede propria,centro de ltda
CLINICA DE MED PREV(ESPACO SAU,rede credenciada,MED PREV (ESPACO SAUDE I),rede propria,med prev espaco
CLINICA DE MED PREV(ESPACO SAU,rede credenciada,CLINIPAM CLINICA PARANAENS DE ASSIST MED LTDA,rede propria,clinica de med
HOSP SAO JOSE,rede propria,ASSOC HOSP SAO JOSE,rede credenciada,hosp sao jose
HOSP SAO JOSE,rede propria,HOSP PED SAO JOSE,rede credenciada,hosp sao jose
MEDCIN LABORATORIO DE ANALISES,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises
CLINICA DE MEDICINA,rede credenciada,MEDPREV - CLINICA DE SEG E MEDICINA,rede propria,clinica de medicina
CLINICA MEDICA CARDIOLOGIA DE,rede credenciada,CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA,rede propria,clinica medica de
CLINICA MEDICA CARDIOLOGIA DE,rede credenciada,CLINIPAM - CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA,rede propria,clinica medica de
