valor_1,contratacao_1,valor_2,contratacao_2,match_palavras
CASA DE SAUDE E MAT.,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,casa de saude e
CLINICA VARGEM GRANDE DO SUL,rede credenciada,MEDICINA PREVENTIVA VARGEM GRANDE DO SUL,rede propria,vargem grande do sul
ICM INSTITUTO DO CORACAO DE MA,rede credenciada,INCORD INSTITUTO NEUROLOGIA E DO CORACAO DE D,rede propria,instituto do coracao de
HOSPITAL E MATERNIDADE DE ITUV,rede credenciada,HOSPITAL E MATERNIDADE DE GUAR,rede propria,hospital e maternidade de
CLINICA DE MEDICINA E DISTURBI,rede credenciada,MEDPREV - CLINICA DE SEG E MEDICINA,rede propria,clinica de medicina e
HOSPITAL E MATERNIDADE SANTA L,rede credenciada,HOSPITAL E MATERNIDADE SANTA BRIGIDA S.A,rede propria,hospital e maternidade santa
HOSPITAL E MATERNIDADE SANTA L,rede credenciada,HOSPITAL E MATERNIDADE SANTA MONICA S A DIVIN,rede propria,hospital e maternidade santa
HOSPITAL E MATERNIDADE SANTA L,rede credenciada,HOSPITAL E MATERNIDADE SANTA MONICA S A NOVA,rede propria,hospital e maternidade santa
HOSPITAL E MATERNIDADE SANTA L,rede credenciada,HOSPITAL E MATERNIDADE SANTA MONICA,rede propria,hospital e maternidade santa
HOSPITAL E MATERNIDADE SANTA L,rede credenciada,HOSPITAL E MATERNIDADE SANTA MONICA S/A,rede propria,hospital e maternidade santa
HOSPITAL E MATERNIDADE SANTA L,rede credenciada,HOSPITAL E MATERNIDADE SANTA M,rede propria,hospital e maternidade santa
POSTO DE COLETA DIAS,rede propria,POSTO DE COLETA DIAS DAVILA,rede credenciada,posto de coleta dias
HOSPITAL E MATERNIDADE DE RANC,rede credenciada,HOSPITAL E MATERNIDADE DE GUAR,rede propria,hospital e maternidade de
CLINICA DE PSIQ E PSICOLOGIA,rede propria,SPAZZIO LOGOS CLINICA DE SAUDE E PSICOLOGIA,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,DEPENTOR E DEPENTOR CLINICA DE PSICOLOGIA S S,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,CLINICA DE PSICOLOGIA INFANTIL E ADULTO RACKE,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,ASR CLINICA MEDICA E DE PSICOLOGIA LTDA.,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,CAVASSANI E FARIA CLINICA DE PSICOLOGIA S S L,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,CLINICA DE FONOAUDIOLOGIA E PSICOLOGIA SILVIA,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,CLINICA DE PSICOLOGIA E ESPECIALIDADES ESPACO,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,CLINICA DE PSICOLOGIA E ESPECIALIDADES PARAIS,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,CLINICA DE PSICOLOGIA E FONOAUDIOLOGIA YONIN,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,CLINICA DE PSICOLOGIA FONOAUDIOLOGIA E NUTRIC,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,CLINICA DE PSICOLOGIA RODRIGUES FREITAS E COR,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,CLINICA PRISMA DE PSIQUIATRIA E PSICOLOGIA LT,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,CLIPS CLINICA INTEGRADA DE PSICOLOGIA E PSQUI,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,CSC CLINICA DE PSICOLOGIA E E,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,CSC CLINICA DE PSICOLOGIA E RECURSOS HUMANOS,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,ESPACO PERSEVERARE CLINICA DE PSICOLOGIA E DE,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,FLOREM CLINICA DE PSICOLOGIA E ESPECIALIDADES,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,LIFECLIN CLINICA DE PSICOLOGIA E ESPECIALIDAD,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,LOTHUS CLINICA DE PSICOLOGIA E NUTRICAO S S L,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,MENTE CRIATIVA CLINICA DE PSICOLOGIA E REFLEX,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,PRO SAUDE CLINICA DE PSICOLOGIA E BEM ESTAR L,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,SERPCRAZ SERVICOS DE PSICOLOGIA E CLINICA DE,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,VENTURA BELASCO E SOUSA CLINICA DE PSICOLOGIA,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,VIVAN E SOUTO CLINICA DE PSICOLOGIA LTDA,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,NEOCOG CLINICA DE PSICOLOGIA E NEUROPSICOLOGI,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,MERAKI CLINICA DE PSICOLOGIA E SAUDE LTDA,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,CICLOS CLINICA DE PSICOLOGIA E TERAPIAS INTEG,rede credenciada,clinica de e psicologia
CLINICA DE PSIQ E PSICOLOGIA,rede propria,CLINICA DE PSICOLOGIA VIVER E CONVIVER LTDA,rede credenciada,clinica de e psicologia
ULTRA SOM SERVICOS MEDICOS S A,rede propria,CLIN KIDS SERVICOS MEDICOS S A,rede credenciada,servicos medicos s a
ULTRA SOM SERVICOS MEDICOS S A,rede propria,INSTITUTO SINAI SERVICOS MEDICOS S.A.,rede credenciada,servicos medicos s a
ULTRA SOM SERVICOS MEDICOS S.A.,rede propria,CLIN KIDS SERVICOS MEDICOS S A,rede credenciada,servicos medicos s a
ULTRA SOM SERVICOS MEDICOS S.A.,rede propria,INSTITUTO SINAI SERVICOS MEDICOS S.A.,rede credenciada,servicos medicos s a
SAO FRANCISCO REDE DE SAUDE ASSISTENCIAL LTDA,rede propria,INSTITUTO DE RADIOTERAPIA SAO FRANCISCO LTDA,rede credenciada,sao francisco de ltda
ULTRA SOM SERV MED LTDA HAP LAURO DE FREITAS,rede propria,IPANEMA-SERV DE ASSIST MED CIRURGICA INFANTIL LTDA,rede credenciada,serv med ltda de
ULTRA SOM SERV MED LTDA - HAP DUQUE DE,rede propria,IPANEMA-SERV DE ASSIST MED CIRURGICA INFANTIL LTDA,rede credenciada,serv med ltda de
SAO FRANCISCO REDE DE SAUDE ASSISTEN LTDA,rede propria,INSTITUTO DE RADIOTERAPIA SAO FRANCISCO LTDA,rede credenciada,sao francisco de ltda
ULTRA SOM SERVICOS MEDICOS SA,rede propria,ULTRA SOM SERVICOS MEDICOS S.A,rede credenciada,ultra som servicos medicos
CLINICA BUCAREIN (ADULTO E PEDIATRICO),rede propria,CLINICA AMERICA (ADULTO E PEDIATRICO),rede credenciada,clinica adulto e pediatrico
LABORATORIO DE ANALISES CLINICAS DOMINGOS FERREIRA,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas
ORTOMED - CLINICA DE ORTOPEDIA E MEDICINA ESPECIALIZADA,rede credenciada,MEDPREV - CLINICA DE SEG E MEDICINA,rede propria,clinica de e medicina
LABORATORIO DE ANALISES CLINICAS DR. MANOEL C. GOUVEIA,rede credenciada,LABORATORIO DE ANALISES CLINICAS DE ITAOBIM L,rede propria,laboratorio de analises clinicas
VIDA & IMAGEM AGAMENON MAGALHAES,rede propria,VIDA IMAGEM AGAMENON MAGALHAES,rede credenciada,vida imagem agamenon magalhaes
CIAM CLINICA INTEGRADA DE ASSISTENCIA MEDICA,rede credenciada,CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA,rede propria,clinica de assistencia medica
