valor_1,contratacao_1,valor_2,contratacao_2,match_palavras,qtd_palavras_em_comum
CLINICA HOSPITAL JARDIM,rede propria,CLIPSI - CLINICA PRONTO SOCORRO INFANTIL E HOSPITAL GERAL,rede credenciada,clinica hospital,2
CLINICA HOSPITAL JARDIM,rede propria,HOSPITAL E CLINICA SAO ROQUE LTDA EPP,rede credenciada,clinica hospital,2
CLINICA HOSPITAL JARDIM,rede propria,HOSPITAL E CLINICA DAS VIAS URINARIAS LTDA,rede credenciada,clinica hospital,2
CLINICA HOSPITAL JARDIM,rede propria,HOSPITAL DE CLINICAS JARDIM HELENA LTDA,rede credenciada,hospital jardim,2
CLINICA HOSPITAL JARDIM,rede propria,HOSPITAL CLINICA GRAJAU,rede credenciada,clinica hospital,2
CLINICA HOSPITAL JARDIM,rede propria,CLINICA JARDIM DO MAR S S LTDA,rede credenciada,clinica jardim,2
CLINICA HOSPITAL JARDIM,rede propria,CIDADE JARDIM CLINICA ORTOPEDICA LTDA,rede credenciada,clinica jardim,2
CLINICA HOSPITAL JARDIM,rede propria,CLINICA INFANTO JUVENIL JARDIM AMERICA EIRELI,rede credenciada,clinica jardim,2
AMERICA POLICLINICA,rede propria,AMERICA POLICLINICA AMB,rede credenciada,america policlinica,2
VIDA IMAGEM PARANGAB,rede propria,VIDA & IMAGEM PINHEIRO,rede credenciada,vida imagem,2
VIDA IMAGEM PARANGAB,rede propria,VIDA E IMAGEM JOAO PESSOA,rede credenciada,vida imagem,2
VIDA IMAGEM PARANGAB,rede propria,VIDA IMAGEM AGAMENON MAGALHAES,rede credenciada,vida imagem,2
HAPCLINICA BARAO DE STUDART,rede propria,CLINICA BARAO DE IPANEMA LTDA,rede credenciada,barao de,2
HAPCLINICA BARAO DE STUDART,rede propria,ODONTO BARAO HOME DE MELO LTDA,rede credenciada,barao de,2
HAPCLINICA SAO JOSE,rede propria,SAO JOSE IMAGEM,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,CENTRO MEDICO SAO JOSE I,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,CLINICA SAO JOSE LTD,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,ASSOC HOSP SAO JOSE,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,CLINICA SAO JOSE IMAGEM,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,LABORATORIO DE ANALISES CLINICAS SAO JOSE SOC,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,SANTA CASA DE MISERIC DE SAO JOSE DO RIO PRET,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,COLETA ZONA SUL SAO JOSE DOS CAMPOS,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,HOSPITAL SAO JOSE MG,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,HOSPITAL MEMORIAL SAO JOSE - (ABRAMGE),rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,HOSPITAL DA CRIANCA SAO JOSE LTDA,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,CENTRO MEDICO SAO JOSE LTDA,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,CLINICA DE DIAGNOSTICOS SAO JOSE EIRELI,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,CENTRO MED SAO JOSE,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,ASSOCIACAO HOSPITALAR SAO JOSE DE JARAGUA DO,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,IRMANDADE SAO JOSE DE NOVO HORIZONTE,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,INSTITUTO SAO JOSE LTDA,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,COLETA ZONA LESTE SAO JOSE DOS CAMPOS,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,SANATORIO SAO JOSE LTDA,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,ASSOCIACAO DE CARIDADE SAO JOSE,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,CLINICA HOSPITALAR DE IMAGEM SAO JOSE LTDA,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,LABORATORIO DE ANALISES CLINICAS SAO JOSE LTD,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,HOSPITAL SAO JOSE LTDA,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,CLINICA DE DIAGNOSTICO SAO JOSE EIRELI ME,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,CLIN ODONTOL SAO JOSE LTDA,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,CARLOS ALBERTO DE SAO JOSE ME,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,IRMANDADE DA SANTA CASA DE SAO JOSE DOS CAMPO,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,SERVICO DE HEMOTERAPIA DE SAO JOSE DOS CAMPOS,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,HOSP PED SAO JOSE,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,CONFERENCIA SAO JOSE DO AVAI,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,IRMANDADE DO HOSPITAL SAO JOSE SANTA CASA DE,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,HOME CARE SAO JOSE DOS CAMPOS,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,HOSPITAL SAO JOSE NOVA SERRANA,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,HOSPITAL PEDIATRICO SAO JOSE,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,DIAVERUM SAO JOSE,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,HOSPITAL SAO JOSE SAO VICENTE,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,AUSTA SAO JOSE R PRETO,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,TEA SAO JOSE DOS CAM,rede credenciada,sao jose,2
HAPCLINICA SAO JOSE,rede propria,LAB ANALISES CLINICAS SAO JOSE,rede credenciada,sao jose,2
HAPCLINICA ZONA SUL,rede propria,COLETA ZONA SUL SAO JOSE DOS CAMPOS,rede credenciada,zona sul,2
HOSP T LISIEUX - HTL,rede propria,T K S SISTEMAS HOSP CONSULT MEDICOS LTDA,rede credenciada,hosp t,2
NB DAS GRAÇAS,rede propria,IRMANDADE DE NOSSA SENHORA DAS GRACAS,rede credenciada,das gracas,2
NB DAS GRAÇAS,rede propria,NOSSA SHA DAS GRACAS,rede credenciada,das gracas,2
NB DAS GRAÇAS,rede propria,CLINICA NOSSA SENHORA DAS GRACAS LTDA,rede credenciada,das gracas,2
NB DAS GRAÇAS,rede propria,FISIO NOSSA SENHORA DAS GRACAS,rede credenciada,das gracas,2
HAPCLIN BOA VIAGEM,rede propria,COPE BOA VIAGEM,rede credenciada,boa viagem,2
HAPCLIN BOA VIAGEM,rede propria,ODONTOCENTER BOA VIAGEM LTDA,rede credenciada,boa viagem,2
HAPCLI VASCO DA GAMA,rede propria,WANESSA LIANY DA GAMA BARROS,rede credenciada,da gama,2
HAPCLI VASCO DA GAMA,rede propria,HOSPITAL E MATERNIDADE DR CHRISTOVAO DA GAMA,rede credenciada,da gama,2
HAPCLI VASCO DA GAMA,rede propria,HOSP CHRISTOVAO DA GAMA,rede credenciada,da gama,2
HAP LAURO DE FREITAS,rede propria,LIVIA MONTEIRO BATALHA DE FREITAS,rede credenciada,de freitas,2
HAP LAURO DE FREITAS,rede propria,CONSULTORIO GLAUCE DE FREITAS,rede credenciada,de freitas,2
HAP LAURO DE FREITAS,rede propria,GILL CESAR FERREIRA DE FREITAS,rede credenciada,de freitas,2
HAP LAURO DE FREITAS,rede propria,LAB DE ANAT PATOLOGICA DE MACEIO-LAB ELMANO FREITAS,rede credenciada,de freitas,2
HAP LAURO DE FREITAS,rede propria,LABORATORIO DE ANALISES CLIN FREITAS LTDA,rede credenciada,de freitas,2
HAP LAURO DE FREITAS,rede propria,GILL CESAR FERREIRA DE FREITAS ME,rede credenciada,de freitas,2
HAP LAURO DE FREITAS,rede propria,LIVIA MONTEIRO BATALHA DE FREITAS - EPP,rede credenciada,de freitas,2
HAP LAURO DE FREITAS,rede propria,ANTONIO EDIMAR DE FREITAS EIRELI,rede credenciada,de freitas,2
HAP LAURO DE FREITAS,rede propria,WILKS LOPES DE FREITAS PSICOLOGO,rede credenciada,de freitas,2
HAP LAURO DE FREITAS,rede propria,BIOANÃLISE Â¿ LABORATÃ“RIO DE ANÃLISES CLÃNICAS FREITAS,rede credenciada,de freitas,2
HAP LAURO DE FREITAS,rede propria,BIOANÁLISE ¿ LABORATÓRIO DE ANÁLISES CLÍNICAS FREITAS,rede credenciada,de freitas,2
HAP LAURO DE FREITAS,rede propria,CLINICA MOURA DE FREITAS LTDA,rede credenciada,de freitas,2
HAP LAURO DE FREITAS,rede propria,CAROLINE ATILIO DE FREITAS,rede credenciada,de freitas,2
HAP LAURO DE FREITAS,rede propria,CLINICA DE PSICOLOGIA RODRIGUES FREITAS E COR,rede credenciada,de freitas,2
HAP LAURO DE FREITAS,rede propria,SILVIA MARIA DE FREITAS SCHIVITARO LTDA,rede credenciada,de freitas,2
HAP LAURO DE FREITAS,rede propria,CHRYS M C DE FREITAS DENTISTA,rede credenciada,de freitas,2
HAP LAURO DE FREITAS,rede propria,ODONTO LAURO CLINICA DE ODONTOLOGIA LTDA,rede credenciada,lauro de,2
HAP LAURO DE FREITAS,rede propria,AVALIACAO DE SAUDE - HAP ANTONIO SALES,rede credenciada,hap de,2
SAUDE E IMAGEM,rede credenciada,LAB E IMAGEM PQ AM,rede propria,e imagem,2
SAUDE E IMAGEM,rede credenciada,LABORATORIO E IMAGEM PQ AMORIM,rede propria,e imagem,2
SAUDE E IMAGEM,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,saude e,2
SAUDE E IMAGEM,rede credenciada,CLIN PSIQ E PSICO ESP SAUDE II,rede propria,saude e,2
HAPCL FERNANDES LIMA,rede propria,F FERNANDES DE OLIVEIRA LIMA,rede credenciada,fernandes lima,2
AMERICA DIAGNOSTICOS,rede propria,DIAGNOSTICOS DA AMERICA,rede credenciada,america diagnosticos,2
AMERICA DIAGNOSTICOS,rede propria,DIAGNÓSTICOS DA AMÉRICA,rede credenciada,america diagnosticos,2
AMERICA DIAGNOSTICOS,rede propria,DIAGNOSTICOS AMERICA,rede credenciada,america diagnosticos,2
AMERICA DIAGNOSTICOS,rede propria,DIAGNOSTICOS DA AMERICA S A PREMIUM,rede credenciada,america diagnosticos,2
AMERICA DIAGNOSTICOS,rede propria,DIAGNOSTICOS DA AMERICA S.A .,rede credenciada,america diagnosticos,2
AMERICA DIAGNOSTICOS,rede propria,DIAGNOSTICOS DA AMERICA S A,rede credenciada,america diagnosticos,2
AMERICA DIAGNOSTICOS,rede propria,DIAGNOSTICOS DA AMERICA S.A.,rede credenciada,america diagnosticos,2
AMERICA DIAGNOSTICOS,rede propria,DIAGNOSTICOS DA AMERICA S.A. CYTOLAB,rede credenciada,america diagnosticos,2
AMERICA DIAGNOSTICOS,rede propria,DIAGNOSTICOS DA AMERICA S.A. DELBONI,rede credenciada,america diagnosticos,2
AMERICA DIAGNOSTICOS,rede propria,DIAGNOSTICOS DA AMERICA S.A. LAVOISIER,rede credenciada,america diagnosticos,2
AMERICA DIAGNOSTICOS,rede propria,DIAGNOSTICOS DA AMERICA SA,rede credenciada,america diagnosticos,2
AMERICA DIAGNOSTICOS,rede propria,DIAGNOSTICOS DA AMERICA S.A,rede credenciada,america diagnosticos,2
HOSPITAL DIA PROMED,rede propria,IOM HOSPITAL DIA,rede credenciada,hospital dia,2
HOSPITAL DIA PROMED,rede propria,PROVER HOSPITAL DIA,rede credenciada,hospital dia,2
HOSPITAL DIA PROMED,rede propria,PROTRAUMA SERVICOS MEDICOS (HOSPITAL DIA),rede credenciada,hospital dia,2
HOSPITAL DIA PROMED,rede propria,HOSPITAL DIA SERVCOR,rede credenciada,hospital dia,2
HOSPITAL DIA PROMED,rede propria,HOSPITAL DIA HEITOR VILASBOAS LTDA,rede credenciada,hospital dia,2
HOSPITAL DIA PROMED,rede propria,SAO LUCAS DIA HOSPITAL,rede credenciada,hospital dia,2
HOSPITAL DIA PROMED,rede propria,GASTROPROCTO HOSPITAL DIA E SERVICOS MEDICOS,rede credenciada,hospital dia,2
HOSPITAL DIA PROMED,rede propria,SAO MATHEUS HOSPITAL DIA,rede credenciada,hospital dia,2
HOSP GERAL JOINVILLE,rede propria,HOSP GERAL EL KADRI,rede credenciada,hosp geral,2
HOSP GERAL JOINVILLE,rede propria,PS INFANTIL E HOSP GERAL,rede credenciada,hosp geral,2
HAP DUQUE DE CAXIAS,rede propria,CASA DE SAUDE E MATERNIDADE DE CAXIAS,rede credenciada,de caxias,2
HAP DUQUE DE CAXIAS,rede propria,CAXIAS PRIME CENTRO DE TERAPIAS LTDA.,rede credenciada,de caxias,2
HAP DUQUE DE CAXIAS,rede propria,FISIOMED DE CAXIAS SERVICOS DE FISIOTERAPIA E,rede credenciada,de caxias,2
HAP DUQUE DE CAXIAS,rede propria,W S CLIN ODONTOL DE CAXIAS LTDA,rede credenciada,de caxias,2
HAP DUQUE DE CAXIAS,rede propria,CASA DE SAUDE CAXIAS,rede credenciada,de caxias,2
HAP DUQUE DE CAXIAS,rede propria,AVALIACAO DE SAUDE - HAP ANTONIO SALES,rede credenciada,hap de,2
VIDA IMG A MAGALHAES,rede propria,VIDA SAUDE CENTRO MEDICO DE DIAGNOSTICO S.A.,rede credenciada,vida a,2
VIDA IMG A MAGALHAES,rede propria,VIDA IMAGEM AGAMENON MAGALHAES,rede credenciada,vida magalhaes,2
HAPCLINICA DO CABO,rede propria,CLINICA DE SAUDE DO CABO,rede credenciada,do cabo,2
PA BEZ. DE MENEZES,rede propria,CONSULTORIO FLAVIA CHAUD DE PA,rede credenciada,pa de,2
PA BEZ. DE MENEZES,rede propria,HOSPITAL CASSEMS UNIDADE DE PA,rede credenciada,pa de,2
PA BEZ. DE MENEZES,rede propria,S R B DE MENEZES,rede credenciada,de menezes,2
PA BEZ. DE MENEZES,rede propria,SAMUEL WILDARY DE MENEZES SOUZA LTDA,rede credenciada,de menezes,2
PA BEZ. DE MENEZES,rede propria,JANAINA DE MENEZES LOPES PIMENTEL EIRELI,rede credenciada,de menezes,2
PA BEZ. DE MENEZES,rede propria,ROSANA CUNHA DE MENEZES,rede credenciada,de menezes,2
PA BEZ. DE MENEZES,rede propria,RAFAEL MENEZES LEONEL DE ASSUNCAO,rede credenciada,de menezes,2
PA BEZ. DE MENEZES,rede propria,HOSPITAL DR ADOLFO BEZERRA DE MENEZES,rede credenciada,de menezes,2
PA BEZ. DE MENEZES,rede propria,LABORATORIO DE PATOLOGIA DR. MENEZES LTDA,rede credenciada,de menezes,2
PA BEZ. DE MENEZES,rede propria,MENEZES NUCLEO DE SAUDE ORAL LTDA,rede credenciada,de menezes,2
VIDA IMAGEM MACEIO,rede propria,VIDA & IMAGEM PINHEIRO,rede credenciada,vida imagem,2
VIDA IMAGEM MACEIO,rede propria,VIDA E IMAGEM JOAO PESSOA,rede credenciada,vida imagem,2
VIDA IMAGEM MACEIO,rede propria,VIDA IMAGEM AGAMENON MAGALHAES,rede credenciada,vida imagem,2
CL MED DA FAMILIA,rede credenciada,ULTRA SOM SERV MED LTDA - HAPC PEDRO DA HORA,rede propria,med da,2
CL MED DA FAMILIA,rede credenciada,ULTRA SOM SERV MED LTDA - HAPCL VASCO DA GAM,rede propria,med da,2
CL MED DA FAMILIA,rede credenciada,ULTRA SOM SERV MED LTDA - UNID DA MULHER,rede propria,med da,2
CL MED DA FAMILIA,rede credenciada,NUCLEO MEDICO DA FAMILIA (RODRIGUES JUNIOR),rede propria,da familia,2
CL MED DA FAMILIA,rede credenciada,NUCLEO MEDICO SAUDE DA FAMILIA MARACANAU,rede propria,da familia,2
CL MED DA FAMILIA,rede credenciada,NUCLEO MEDICO SAUDE DA FAMILIA MONTESE,rede propria,da familia,2
CL MED DA FAMILIA,rede credenciada,MED FAMILIA RODRIGUES JR,rede propria,med familia,2
HOSPITAL ANTONIO PRU,rede propria,HOSPITAL SANTO ANTONIO,rede credenciada,hospital antonio,2
HOSPITAL ANTONIO PRU,rede propria,HOSPITAL SANTO ANTONIO DO RECONCAVO,rede credenciada,hospital antonio,2
HOSPITAL ANTONIO PRU,rede propria,HOSPITAL SANTO ANTONIO LTDA,rede credenciada,hospital antonio,2
HOSPITAL ANTONIO PRU,rede propria,HOSPITAL SANTO ANTONIO SANTOS,rede credenciada,hospital antonio,2
HAPCLINICA RODRIGUES JUNIOR,rede propria,ROBERTSON RODRIGUES PEREIRA JUNIOR,rede credenciada,rodrigues junior,2
HOSPITAL RIO POTY,rede propria,HOSPITAL EVANGELICO DE RIO VERDE,rede credenciada,hospital rio,2
HOSPITAL RIO POTY,rede propria,HOSPITAL EVANGELICO DE RIO VER,rede credenciada,hospital rio,2
HOSPITAL RIO POTY,rede propria,HOSPITAL DE CLINICAS RIO MAR BARRA LTDA,rede credenciada,hospital rio,2
HOSPITAL ANA LIMA,rede propria,HOSPITAL ANA COSTA S A,rede credenciada,hospital ana,2
CLINICA AMERICA,rede propria,CLINICA AMERICA (ADULTO E PEDIATRICO),rede credenciada,clinica america,2
CLINICA AMERICA,rede propria,CLINICA INFANTO JUVENIL JARDIM AMERICA EIRELI,rede credenciada,clinica america,2
CM DE PAULISTA,rede propria,CENTRO PAULISTA DE CIRURGIA OC,rede credenciada,de paulista,2
CM DE PAULISTA,rede propria,FISIOPAULISTA-FISIOCLINICA DE PAULISTA,rede credenciada,de paulista,2
CM DE PAULISTA,rede propria,JARDIM PAULISTA SOCIEDADE DE DENTISTAS,rede credenciada,de paulista,2
CM DE PAULISTA,rede propria,INSTITUICAO PAULISTA ADVENTISTA DE EDUCACAO E,rede credenciada,de paulista,2
CM DE PAULISTA,rede propria,BANCO DE SANGUE PAULISTA LTDA.,rede credenciada,de paulista,2
CM DE PAULISTA,rede propria,CLINICA PAULISTA DE FONOAUDIOLOGIA LTDA,rede credenciada,de paulista,2
CM DE PAULISTA,rede propria,INSTITUICAO PAULISTA ADVENTISTA DE EDUC E ASS,rede credenciada,de paulista,2
CM DE PAULISTA,rede propria,INSTITUTO PAULISTA DE ANALISES CLINICAS LTDA,rede credenciada,de paulista,2
CM DE PAULISTA,rede propria,UNIDADE PAULISTA DE REUMATOLOG,rede credenciada,de paulista,2
CM DE PAULISTA,rede propria,UNIDADE PAULISTA DE REUMATOLOGIA LTDA,rede credenciada,de paulista,2
CM DE PAULISTA,rede propria,INSTITUTO PAULISTA DE CANCEROLOGIA MOCA LTDA,rede credenciada,de paulista,2
CM DE PAULISTA,rede propria,HOSPITAL DE OLHOS PAULISTA,rede credenciada,de paulista,2
CM DE PAULISTA,rede propria,LABORATORIO DE ANALISES CLINICAS PAULISTA LTD,rede credenciada,de paulista,2
CM DE PAULISTA,rede propria,UNIDADE PAULISTA DE MEDICINA LTDA,rede credenciada,de paulista,2
HAP SAO GERARDO,rede propria,DAVITA SAO GERARDO,rede credenciada,sao gerardo,2
NB SAO GERARDO,rede propria,DAVITA SAO GERARDO,rede credenciada,sao gerardo,2
HAP JOSE WALTER,rede propria,DNA ODONTOLOGIA JOSE WALTER LTDA,rede credenciada,jose walter,2
VIDA IMAGEM H GRACA,rede propria,VIDA & IMAGEM PINHEIRO,rede credenciada,vida imagem,2
VIDA IMAGEM H GRACA,rede propria,VIDA E IMAGEM JOAO PESSOA,rede credenciada,vida imagem,2
VIDA IMAGEM H GRACA,rede propria,H. M. CLINICA E DIAGNOSTICO POR IMAGEM LTDA,rede credenciada,imagem h,2
VIDA IMAGEM H GRACA,rede propria,VIDA IMAGEM AGAMENON MAGALHAES,rede credenciada,vida imagem,2
HAPCL CAMPINA GRANDE,rede propria,CAMPIMAGEM - CENTRO DE DIAGNOSTICO POR IMAGEM DE CAMPINA GRANDE,rede credenciada,campina grande,2
HAPCL CAMPINA GRANDE,rede propria,HOSPITAL DE OFTALMOLOGIA DE CAMPINA GRANDE,rede credenciada,campina grande,2
TELEMED ZONA NORTE,rede propria,UNIDADE DE FISIOTERAPIA ZONA NORTE,rede credenciada,zona norte,2
LAB CONJUNTO CEARA,rede propria,RITMOCORDIS LAB DE ARRIT E MARC. DO CEARA,rede credenciada,lab ceara,2
CASA DE EURIPEDES,rede propria,SANTA CASA DE SAO MI,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,CASA DE SAUDE E MAT.,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,CASA DE SAUDE,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,SANTA CASA DE PIRASS,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,IRMANDADE DA CASA DE CARIDADE,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,IRMANDADE DA SANTA CASA DE MIS,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,SANTA CASA DE MISERI,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,IRMANDAD SANTA CASA DE MISERIC,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,SANTA CASA DE MISERIC E MATER,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,SANTA CASA DE MISERICORDIA DE,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,SANTA CASA DE ARAXA,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,SANTA CASA DE FRANCA,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,SANTA CASA DE DOIS CORREGOS,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,IRMANDADE DA SANTA CASA DE BAT,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,SANTA CASA DE JAU,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,SANTA CASA DE GUAIRA,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,IRMAND SANTA CASA DE,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,SANTA CASA DE PASSOS,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,SANTA CASA DE JAHU,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,CASA DE SAUDE SAO JOAO (URGENCIA CLINICA MEDICA 12 HORAS),rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,SANTA CASA DE MISERICORDIA DE SAO MIGUEL DOS CAMPOS,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,CASA DE SE MATERNIDADE P SOCORRO,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,IRM CASA CARIDAD SAO VIC PAULO DE CAJURU,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,SOCIEDADE BENEFICIENTE SANTA CASA DE SERRANA,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,IRMANDADE DA SANTA CASA DE MISERICORDIA DE IG,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,SANTA CASA DE MISERIC DE SAO JOSE DO RIO PRET,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,SANTA CASA SAO VICENTE DE PAULO TANABI,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,FUNDACAO SANTA CASA DE MISERICORDIA DE FRANCA,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,IRMANDADE DA SANTA CASA DE MISERICORDIA DE DE,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,IRMA.DA STA.CASA DE MISERICORDIA DE LIMEIRA,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,SANTA CASA DE CAFELANDIA,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,SANTA CASA DE MISERICORDIA DE BATATAIS,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,SANTA CASA DE PIRAJUI,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,SANTA CASA DE MISERICORDIA DE ITUVERAVA,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,SANTA CASA DE MISERICORDIA DE CAPIVARI,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,IRMANDADE DA SANTA CASA DE MISERICORDIA DE IP,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,IRMANDADE DA SANTA CASA DE MIS E MAT D ZILDA,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,CASA DE SAUDE E MATERNIDADE DE CAXIAS,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,ASSOCIACAO SANTA CASA CLINICAS DE BIRIGUI,rede credenciada,casa de,2
CASA DE EURIPEDES,rede propria,SANTA CASA DE MISERICORDIA DE TIETE,rede credenciada,casa de,2
