valor_1,contratacao_1,valor_2,contratacao_2,match_palavras,qtd_palavras_em_comum
DIAG JARD SAO MARCOS,rede propria,HOSPITAL SAO MARCOS DA SAMA,rede credenciada,sao marcos,2
DIAG JARD SAO MARCOS,rede propria,HOSP. SAO MARCOS,rede credenciada,sao marcos,2
DIAG JARD SAO MARCOS,rede propria,LAB SAO MARCOS,rede credenciada,sao marcos,2
DIAG JARD SAO MARCOS,rede propria,HOSP SAO MARCOS SP,rede credenciada,sao marcos,2
DIAG JARD SAO MARCOS,rede propria,LABORATORIO SAO MARCOS - APARE,rede credenciada,sao marcos,2
DIAG JARD SAO MARCOS,rede propria,SAO MARCOS MEDICINA NUCLEAR,rede credenciada,sao marcos,2
DIAG JARD SAO MARCOS,rede propria,DIAGNOSTICO JARDIM SAO MARCOS,rede credenciada,sao marcos,2
DIAG JARD SAO MARCOS,rede propria,LABO DE ANA CLI SAO MARCOS ILHA SOL LTDA,rede credenciada,sao marcos,2
DIAG JARD SAO MARCOS,rede propria,HOSPITAL SAO MARCOS DA SAMA MORRO AGUDO,rede credenciada,sao marcos,2
DIAG JARD SAO MARCOS,rede propria,HOSPITAL SAO MARCOS,rede credenciada,sao marcos,2
DIAG JARD SAO MARCOS,rede propria,SAO MARCOS SAUDE E MEDICINA DIAGNOSTICA SA,rede credenciada,sao marcos,2
DIAG JARD SAO MARCOS,rede propria,LABORATORIO SAO MARCOS LTDA,rede credenciada,sao marcos,2
DIAG JARD SAO MARCOS,rede propria,SAO MARCOS RAD,rede credenciada,sao marcos,2
DIAG JARD SAO MARCOS,rede propria,SAO MARCOS SAUDE E MEDICINA DIAGNOSTICA S A,rede credenciada,sao marcos,2
DIAG JARD SAO MARCOS,rede propria,SAO MARCOS SAUDE E DIAGNOSTICO,rede credenciada,sao marcos,2
DIAG JARD SAO MARCOS,rede propria,HOSP SAO MARCOS,rede credenciada,sao marcos,2
HOSPITAL ANTONIO,rede propria,HOSPITAL SANTO ANTONIO,rede credenciada,hospital antonio,2
HOSPITAL ANTONIO,rede propria,HOSPITAL SANTO ANTONIO DO RECONCAVO,rede credenciada,hospital antonio,2
HOSPITAL ANTONIO,rede propria,HOSPITAL SANTO ANTONIO LTDA,rede credenciada,hospital antonio,2
HOSPITAL ANTONIO,rede propria,HOSPITAL SANTO ANTONIO SANTOS,rede credenciada,hospital antonio,2
HAPC ZONA NORTE,rede propria,UNIDADE DE FISIOTERAPIA ZONA NORTE,rede credenciada,zona norte,2
HOSP GERAL PARAIBA,rede propria,HOSP GERAL EL KADRI,rede credenciada,hosp geral,2
HOSP GERAL PARAIBA,rede propria,PS INFANTIL E HOSP GERAL,rede credenciada,hosp geral,2
