valor_1,contratacao_1,valor_2,contratacao_2,match_palavras,qtd_palavras_em_comum
CASA DE SAUDE E MAT.,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,casa de saude e,4
CLINICA VARGEM GRANDE DO SUL,rede credenciada,MEDICINA PREVENTIVA VARGEM GRANDE DO SUL,rede propria,vargem grande do sul,4
ICM INSTITUTO DO CORACAO DE MA,rede credenciada,INCORD INSTITUTO NEUROLOGIA E DO CORACAO DE D,rede propria,instituto do coracao de,4
HOSPITAL E MATERNIDADE DE ITUV,rede credenciada,HOSPITAL E MATERNIDADE DE GUAR,rede propria,hospital e maternidade de,4
CLINICA DE MEDICINA E DISTURBI,rede credenciada,MEDPREV - CLINICA DE SEG E MEDICINA,rede propria,clinica de medicina e,4
HOSPITAL E MATERNIDADE SANTA L,rede credenciada,HOSPITAL E MATERNIDADE SANTA BRIGIDA S.A,rede propria,hospital e maternidade santa,4
HOSPITAL E MATERNIDADE SANTA L,rede credenciada,HOSPITAL E MATERNIDADE SANTA MONICA S A DIVIN,rede propria,hospital e maternidade santa,4
HOSPITAL E MATERNIDADE SANTA L,rede credenciada,HOSPITAL E MATERNIDADE SANTA MONICA S A NOVA,rede propria,hospital e maternidade santa,4
HOSPITAL E MATERNIDADE SANTA L,rede credenciada,HOSPITAL E MATERNIDADE SANTA MONICA,rede propria,hospital e maternidade santa,4
HOSPITAL E MATERNIDADE SANTA L,rede credenciada,HOSPITAL E MATERNIDADE SANTA MONICA S/A,rede propria,hospital e maternidade santa,4
HOSPITAL E MATERNIDADE SANTA L,rede credenciada,HOSPITAL E MATERNIDADE SANTA M,rede propria,hospital e maternidade santa,4
POSTO DE COLETA DIAS,rede propria,POSTO DE COLETA DIAS DAVILA,rede credenciada,posto de coleta dias,4
HOSPITAL E MATERNIDADE DE RANC,rede credenciada,HOSPITAL E MATERNIDADE DE GUAR,rede propria,hospital e maternidade de,4
CLINICA DE PSIQ E PSICOLOGIA,rede propria,SPAZZIO LOGOS CLINICA DE SAUDE E PSICOLOGIA,rede credenciada,clinica de e psicologia,4
CLINICA DE PSIQ E PSICOLOGIA,rede propria,DEPENTOR E DEPENTOR CLINICA DE PSICOLOGIA S S,rede credenciada,clinica de e psicologia,4
CLINICA DE PSIQ E PSICOLOGIA,rede propria,CLINICA DE PSICOLOGIA INFANTIL E ADULTO RACKE,rede credenciada,clinica de e psicologia,4
CLINICA DE PSIQ E PSICOLOGIA,rede propria,ASR CLINICA MEDICA E DE PSICOLOGIA LTDA.,rede credenciada,clinica de e psicologia,4
CLINICA DE PSIQ E PSICOLOGIA,rede propria,CAVASSANI E FARIA CLINICA DE PSICOLOGIA S S L,rede credenciada,clinica de e psicologia,4
CLINICA DE PSIQ E PSICOLOGIA,rede propria,CLINICA DE FONOAUDIOLOGIA E PSICOLOGIA SILVIA,rede credenciada,clinica de e psicologia,4
CLINICA DE PSIQ E PSICOLOGIA,rede propria,CLINICA DE PSICOLOGIA E ESPECIALIDADES ESPACO,rede credenciada,clinica de e psicologia,4
CLINICA DE PSIQ E PSICOLOGIA,rede propria,CLINICA DE PSICOLOGIA E ESPECIALIDADES PARAIS,rede credenciada,clinica de e psicologia,4
