valor_1,contratacao_1,valor_2,contratacao_2,match_palavras,qtd_palavras_em_comum
HAPCLI VASCO DA GAMA,rede propria,NOSSO MEDICO VASCO DA GAMA,rede credenciada,vasco da gama,3
HAP LAURO DE FREITAS,rede propria,CLISANNA LAURO DE FREITAS,rede credenciada,lauro de freitas,3
HAP ANTONIO SALES,rede propria,AVALIACAO DE SAUDE - HAP ANTONIO SALES,rede credenciada,hap antonio sales,3
HAP DUQUE DE CAXIAS,rede propria,H.S COR SERV DE HEMODIN DE DUQUE DE CAXIAS LT,rede credenciada,duque de caxias,3
HAPC VASCO DA GAMA,rede propria,NOSSO MEDICO VASCO DA GAMA,rede credenciada,vasco da gama,3
HOSPITAL RIO MAR,rede propria,HOSPITAL DE CLINICAS RIO MAR BARRA LTDA,rede credenciada,hospital rio mar,3
HAPCLINICA FEIRA DE SANTANA,rede propria,INST DE OFTALMOLOGIA DE FEIRA DE SANTANA,rede credenciada,feira de santana,3
HAPCLINICA FEIRA DE SANTANA,rede propria,REEMBOLSO FEIRA DE SANTANA,rede credenciada,feira de santana,3
HAPC DUQUE DE CAXIAS,rede propria,H.S COR SERV DE HEMODIN DE DUQUE DE CAXIAS LT,rede credenciada,duque de caxias,3
HOSPITAL DAS CLINICA,rede propria,HOSPITAL E CLINICA DAS VIAS URINARIAS LTDA,rede credenciada,hospital das clinica,3
NB DUQUE DE CAXIAS,rede propria,H.S COR SERV DE HEMODIN DE DUQUE DE CAXIAS LT,rede credenciada,duque de caxias,3
CEDIU CENTRO DE DIAG,rede credenciada,CENTRO DE DIAG MA,rede propria,centro de diag,3
NB-LAURO DE FREITAS,rede propria,CLISANNA LAURO DE FREITAS,rede credenciada,lauro de freitas,3
CENTRO DE DIAGNOST,rede propria,DEX LAB CENTRO INTEGRADO DE MEDICINA DIAGNOST,rede credenciada,centro de diagnost,3
CENTRO DE DIAGNOST,rede propria,CIMED CENTRO INTEGRADO DE MEDICINA E DIAGNOST,rede credenciada,centro de diagnost,3
CENTRO DE OLHOS,rede propria,CENTRO DE OLHOS CEOP,rede credenciada,centro de olhos,3
CLINICA DE SAUDE E IMAGEM,rede credenciada,CASA DE SAUDE E MATERNIDADE,rede propria,de saude e,3
CLINICA DE SAUDE E IMAGEM,rede credenciada,CLINICA DE PSIQ E PSICOLOGIA,rede propria,clinica de e,3
